Order_ID,Order_Date,Customer_ID,Customer_Name,City,Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Order_Status
ORD0001,2025-03-13,C161,Nigar,Ganja,Clothing,Backpack,3,45.27,0.0,Bank Transfer,Cancelled
ORD0002,2025-12-10,C130,Elvin,Ganja,Clothing,Sneakers,4,18.4,0.0,Online Payment,Completed
ORD0003,2026-04-20,C159,Emil,Ganja,Books,AI Book,4,9.2,0.2,Bank Transfer,Returned
ORD0004,2026-05-20,C103,Nigar,Sumqayit,Home,Air Fryer,5,161.56,0.05,Cash,Completed
ORD0005,2025-12-12,C153,Murad,Lankaran,Electronics,Smart Watch,4,262.21,0.05,Bank Transfer,Completed
ORD0006,2026-07-16,C104,Murad,Shaki,Books,Data Analytics Book,2,55.28,0.05,Card,Completed
ORD0007,2025-09-27,C195,Emil,Shaki,Furniture,Table Lamp,4,330.64,0.0,Online Payment,Cancelled
ORD0008,2025-08-05,C160,Gunay,Mingachevir,Books,SQL Book,1,36.06,0.0,Card,Completed
ORD0009,2026-04-17,C163,Tural,Sumqayit,Electronics,Headphones,1,352.07,0.1,Bank Transfer,Completed
ORD0010,2025-02-10,C128,Sabina,Baku,Home,Kettle,4,279.0,0.0,Online Payment,Returned
ORD0011,2026-07-01,C165,Leyla,Mingachevir,Books,Data Analytics Book,3,38.75,0.1,Cash,Returned
ORD0012,2026-07-08,C177,Leyla,Baku,Home,Coffee Maker,4,217.54,0.05,Online Payment,Returned
ORD0013,2026-06-25,C136,Samir,Sumqayit,Books,Excel Book,3,36.07,0.0,Cash,Completed
ORD0014,2025-01-28,C144,Orxan,Shaki,Books,Python Book,3,13.49,0.0,Bank Transfer,Completed
ORD0015,2025-10-10,C162,Rauf,Lankaran,Electronics,Headphones,5,137.02,0.15,Bank Transfer,Returned
ORD0016,2025-08-13,C151,Zehra,Lankaran,Home,Coffee Maker,3,153.18,0.0,Online Payment,Completed
ORD0017,2026-03-18,C152,Gunay,Shaki,Clothing,T-Shirt,2,25.71,0.1,Card,Completed
ORD0018,2025-08-08,C154,Sabina,Mingachevir,Electronics,Keyboard,1,282.11,0.1,Cash,Completed
ORD0019,2026-02-20,C168,Sabina,Sumqayit,Books,AI Book,3,31.28,0.0,Cash,Cancelled
ORD0020,2026-05-26,C116,Aysel,Baku,Clothing,Jeans,4,119.53,0.05,Online Payment,Cancelled
ORD0021,2026-02-07,C190,Leyla,Sumqayit,Home,Air Fryer,4,107.9,0.1,Online Payment,Completed
ORD0022,2026-04-18,C150,Sabina,Shaki,Electronics,Wireless Mouse,2,380.22,0.0,Online Payment,Completed
ORD0023,2025-01-02,C101,Lala,Lankaran,Electronics,Smart Watch,5,247.75,0.15,Bank Transfer,Completed
ORD0024,2025-07-27,C103,Orxan,Shaki,Electronics,Keyboard,1,321.15,0.1,Bank Transfer,Completed
ORD0025,2025-04-22,C189,Leyla,Baku,Clothing,Jacket,5,110.81,0.0,Cash,Completed
ORD0026,2025-06-10,C168,Aysel,Shaki,Furniture,Bookshelf,5,238.63,0.0,Online Payment,Completed
ORD0027,2026-04-15,C122,Lala,Shaki,Electronics,Headphones,5,253.29,0.05,Online Payment,Completed
ORD0028,2025-10-11,C164,Aysel,Mingachevir,Home,Blender,4,114.77,0.1,Bank Transfer,Completed
ORD0029,2025-06-21,C192,Lala,Mingachevir,Home,Coffee Maker,5,27.43,0.15,Online Payment,Completed
ORD0030,2025-06-30,C195,Leyla,Lankaran,Books,Excel Book,1,30.27,0.0,Card,Cancelled
ORD0031,2026-07-20,C158,Leyla,Shaki,Electronics,Keyboard,2,92.88,0.1,Cash,Completed
ORD0032,2025-04-14,C133,Rauf,Sumqayit,Home,Blender,5,265.05,0.0,Cash,Completed
ORD0033,2026-05-21,C107,Rauf,Lankaran,Furniture,Office Chair,5,225.68,0.0,Online Payment,Returned
ORD0034,2025-04-02,C198,Murad,Shaki,Clothing,Sneakers,3,70.77,0.05,Bank Transfer,Returned
ORD0035,2025-11-01,C152,Zehra,Shaki,Books,SQL Book,3,52.74,0.0,Card,Cancelled
ORD0036,2025-04-13,C168,Elvin,Mingachevir,Clothing,Jacket,4,174.27,0.05,Bank Transfer,Completed
ORD0037,2025-04-30,C163,Leyla,Lankaran,Books,SQL Book,2,34.85,0.0,Card,Completed
ORD0038,2025-02-27,C101,Emil,Ganja,Books,Python Book,1,43.8,0.1,Card,Completed
ORD0039,2025-09-04,C167,Gunay,Ganja,Books,Excel Book,3,39.81,0.1,Card,Cancelled
ORD0040,2025-04-04,C162,,Mingachevir,Clothing,Backpack,4,30.54,0.0,Cash,Cancelled
ORD0041,2025-12-23,C123,Zehra,Ganja,Clothing,T-Shirt,5,91.67,0.15,Online Payment,Completed
ORD0042,2025-11-21,C104,Kamran,Ganja,Furniture,Bookshelf,1,191.0,0.15,Online Payment,Completed
ORD0043,2026-01-15,C133,Aysel,Mingachevir,Clothing,Jacket,3,79.05,0.1,Online Payment,Completed
ORD0044,2025-02-12,C144,Samir,Mingachevir,Electronics,Headphones,4,300.14,0.0,Cash,Cancelled
ORD0045,2025-03-31,C108,Samir,Ganja,Home,Blender,2,209.66,0.0,Cash,Completed
ORD0046,2026-05-08,C175,Samir,Lankaran,Electronics,Smart Watch,1,317.94,0.1,Card,Completed
ORD0047,2025-07-11,C199,Aysel,Sumqayit,Furniture,Monitor Stand,4,270.2,0.05,Bank Transfer,Returned
ORD0048,2026-06-09,C123,Rauf,Sumqayit,Books,AI Book,1,30.31,0.05,Card,Returned
ORD0049,2025-01-19,C149,Orxan,Lankaran,Clothing,T-Shirt,5,67.81,0.15,Online Payment,Completed
ORD0050,2026-01-02,C116,Nigar,Mingachevir,Clothing,Jacket,3,109.62,0.1,Online Payment,Completed
ORD0051,2025-05-24,C157,Sabina,Mingachevir,Books,AI Book,5,57.2,0.05,Bank Transfer,Returned
ORD0052,2025-08-23,C175,Murad,Lankaran,Furniture,Monitor Stand,1,265.85,0.1,Online Payment,Completed
ORD0053,2026-01-28,C150,Tural,Ganja,Books,Excel Book,2,19.57,0.0,Card,Returned
ORD0054,2026-05-15,C117,Emil,Baku,Home,Kettle,5,120.63,0.1,Cash,Completed
ORD0055,2025-06-16,C191,Zehra,Ganja,Home,Kettle,3,122.73,0.0,Bank Transfer,Cancelled
ORD0056,2025-02-27,C120,Gunay,Mingachevir,Books,SQL Book,1,32.37,0.1,Bank Transfer,Cancelled
ORD0057,2026-01-04,C125,Kamran,Baku,Clothing,T-Shirt,5,76.85,0.2,Online Payment,Cancelled
ORD0058,2025-03-21,C185,Tural,Lankaran,Books,Excel Book,5,24.78,0.0,Bank Transfer,Completed
ORD0059,2025-11-01,C114,Emil,Baku,Electronics,Wireless Mouse,5,91.47,0.1,Bank Transfer,Completed
ORD0060,2025-12-24,C176,Kamran,Lankaran,Home,Air Fryer,5,288.23,0.0,Online Payment,Completed
ORD0061,2026-06-24,C192,Nigar,Baku,Furniture,Desk,4,103.41,0.2,Cash,Completed
ORD0062,2026-04-06,C192,Samir,Mingachevir,Electronics,Headphones,3,196.82,0.1,Cash,Completed
